use_parallel,batch_size,num_heads,seq_len,emb_dim,B_c,B_r,block_dim_y,time
1,5,10,4096,64,2,4,5,1834.16
1,5,10,4096,64,4,4,5,1377.32
1,5,10,4096,64,8,4,5,1192.49
1,5,10,4096,64,16,4,5,1197.39
1,5,10,4096,64,32,4,5,1357.84
1,5,10,4096,64,64,4,5,1536.46
1,5,10,4096,64,2,8,5,1480.28
1,5,10,4096,64,4,8,5,1071.04
1,5,10,4096,64,8,8,5,928.712
1,5,10,4096,64,16,8,5,935.85
1,5,10,4096,64,32,8,5,1087.34
1,5,10,4096,64,64,8,5,1093.23
1,5,10,4096,64,2,16,5,1347.85
1,5,10,4096,64,4,16,5,936.171
1,5,10,4096,64,8,16,5,798.441
1,5,10,4096,64,16,16,5,809.729
1,5,10,4096,64,32,16,5,945.58
1,5,10,4096,64,64,16,5,946.706
1,5,10,4096,64,2,32,5,1290.99
1,5,10,4096,64,4,32,5,877.826
1,5,10,4096,64,8,32,5,737.567
1,5,10,4096,64,16,32,5,780.9
1,5,10,4096,64,32,32,5,893.614
1,5,10,4096,64,64,32,5,886.589
1,5,10,4096,64,2,64,5,1390.74
1,5,10,4096,64,4,64,5,868.489
1,5,10,4096,64,8,64,5,718.609
1,5,10,4096,64,16,64,5,721.018
1,5,10,4096,64,32,64,5,920.324
1,5,10,4096,64,64,64,5,855.959
1,5,10,4096,64,2,128,5,1471.06
1,5,10,4096,64,4,128,5,877.456
1,5,10,4096,64,8,128,5,707.297
1,5,10,4096,64,16,128,5,706.299
1,5,10,4096,64,32,128,5,893.789
1,5,10,4096,64,64,128,5,846.314
1,5,10,4096,64,2,256,5,1523.85
1,5,10,4096,64,4,256,5,978.012
1,5,10,4096,64,8,256,5,754.19
1,5,10,4096,64,16,256,5,750.416
1,5,10,4096,64,32,256,5,-2.0
1,5,10,4096,64,64,256,5,-2.0
1,5,10,4096,64,2,512,5,-2.0
1,5,10,4096,64,4,512,5,-2.0
1,5,10,4096,64,8,512,5,-2.0
1,5,10,4096,64,16,512,5,-2.0
1,5,10,4096,64,32,512,5,-2.0
1,5,10,4096,64,64,512,5,-2.0
